snippet.publishedAt,snippet.title,snippet.description,snippet.thumbnails.default.url,snippet.thumbnails.medium.url,snippet.channelTitle,snippet.localized.title,snippet.localized.description,status.uploadStatus,status.privacyStatus,status.license,status.embeddable,status.publicStatsViewable,status.madeForKids,statistics.viewCount,statistics.likeCount,statistics.dislikeCount,player.embedHtml
2021-07-22T15:00:12Z,AQUELAS COISAS - João Gomes e Tarcísio do Acordeon (DVD Ao Vivo em Fortaleza),"#AquelasCoisas #JoãoGomes #DVD #Fortaleza #TarcísioDoAcordeon

Esse vídeo faz parte do DVD OFICIAL do João Gomes gravado Ao Vivo em Fortaleza/CE.

Você pode escutar todos os sucessos nas plataformas musicais:
https://escuta.la/joaogomesoficial

Aproveite e se inscreva no canal!

Letra da Música
Autores: Daniel Mendes, Washington Jr.

Onde é que cê tá?
Fala pra mim
Se vai rolar
Que eu tô a fim

Sei que já é tarde, rodei a cidade
Mas você insiste em se esconder
Responde essa mensagem, isso é maldade
Quero ficar com você

Quando lembrar da gente no quarto tirando a roupa
Aí cê vai querer o meu beijo na boca
Do nada, cê me liga pra fazer aquelas coisas
Sabe que o vaqueiro é quem te deixa louca

Quando lembrar da gente no quarto tirando a roupa
Aí cê vai querer o meu beijo na boca
Do nada, cê me liga pra fazer aquelas coisas
Sabe que o vaqueiro é quem te deixa louca

---------
Produção Geral: Top Eventos
Direção de Video: Victor Teixeira ( VTX Filmes )
Luz e Estrutura: Arasom Eventos
Direção de Arte e Digital: Alkabits Network",https://i.ytimg.com/vi/mpiX5Szs-Xs/default.jpg,https://i.ytimg.com/vi/mpiX5Szs-Xs/mqdefault.jpg,João Gomes Cantor,AQUELAS COISAS - João Gomes e Tarcísio do Acordeon (DVD Ao Vivo em Fortaleza),"#AquelasCoisas #JoãoGomes #DVD #Fortaleza #TarcísioDoAcordeon

Esse vídeo faz parte do DVD OFICIAL do João Gomes gravado Ao Vivo em Fortaleza/CE.

Você pode escutar todos os sucessos nas plataformas musicais:
https://escuta.la/joaogomesoficial

Aproveite e se inscreva no canal!

Letra da Música
Autores: Daniel Mendes, Washington Jr.

Onde é que cê tá?
Fala pra mim
Se vai rolar
Que eu tô a fim

Sei que já é tarde, rodei a cidade
Mas você insiste em se esconder
Responde essa mensagem, isso é maldade
Quero ficar com você

Quando lembrar da gente no quarto tirando a roupa
Aí cê vai querer o meu beijo na boca
Do nada, cê me liga pra fazer aquelas coisas
Sabe que o vaqueiro é quem te deixa louca

Quando lembrar da gente no quarto tirando a roupa
Aí cê vai querer o meu beijo na boca
Do nada, cê me liga pra fazer aquelas coisas
Sabe que o vaqueiro é quem te deixa louca

---------
Produção Geral: Top Eventos
Direção de Video: Victor Teixeira ( VTX Filmes )
Luz e Estrutura: Arasom Eventos
Direção de Arte e Digital: Alkabits Network",processed,public,youtube,True,True,False,1415265,86565,618,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/mpiX5Szs-Xs"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
2021-07-22T15:52:53Z,Leo Dias entrevista Zé Felipe e Virgínia,"Virgínia Fonseca e Zé Felipe são o casal mais popular do momento na internet. Em uma entrevista exclusiva à coluna Leo Dias, eles revelaram detalhes sobre o relacionamento, desde o início do namoro até o nascimento da primeira filha, Maria Alice. “Sempre acreditei que existe amor à primeira vista”, afirmou a influenciadora digital.

A exposição nas redes sociais faz parte da carreira dos dois, mas Virgínia garante que tem limites no que mostra ao público. “Pelo Zé Felipe, a gente postaria tudo”, disse ela. Já a cobrança e as críticas incomodam, especialmente relacionadas a Maria Alice. “Cada um tem uma forma de criar o filho”, comentou o cantor.

INSCREVA-SE EM NOSSO CANAL E ATIVE O SININHO!
🔴 http://www.metropoles.com
🔴 http://www.facebook.com/metropolesdf
🔴 http://www.instagram.com/metropoles
🔴 http://www.twitter.com/metropoles",https://i.ytimg.com/vi/IavMs3tm6Rk/default.jpg,https://i.ytimg.com/vi/IavMs3tm6Rk/mqdefault.jpg,Metrópoles,Leo Dias entrevista Zé Felipe e Virgínia,"Virgínia Fonseca e Zé Felipe são o casal mais popular do momento na internet. Em uma entrevista exclusiva à coluna Leo Dias, eles revelaram detalhes sobre o relacionamento, desde o início do namoro até o nascimento da primeira filha, Maria Alice. “Sempre acreditei que existe amor à primeira vista”, afirmou a influenciadora digital.

A exposição nas redes sociais faz parte da carreira dos dois, mas Virgínia garante que tem limites no que mostra ao público. “Pelo Zé Felipe, a gente postaria tudo”, disse ela. Já a cobrança e as críticas incomodam, especialmente relacionadas a Maria Alice. “Cada um tem uma forma de criar o filho”, comentou o cantor.

INSCREVA-SE EM NOSSO CANAL E ATIVE O SININHO!
🔴 http://www.metropoles.com
🔴 http://www.facebook.com/metropolesdf
🔴 http://www.instagram.com/metropoles
🔴 http://www.twitter.com/metropoles",processed,public,youtube,True,True,False,824951,72815,572,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/IavMs3tm6Rk"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
2021-07-21T21:00:13Z,Luísa Sonza - INTERE$$EIRA (Lyric Video),"SIGA LUÍSA SONZA:
https://www.facebook.com/LuisaSonza
https://twitter.com/luisasonza
https://www.instagram.com/luisasonza

Ficha Técnica

Produtora: Gafe
Direção Felipe Gomes, Luísa Sonza
Direção de Fotografia: Pedro Saviolli
Direção de arte: Gabi Lisboa
Assistente de Foto: Fernando Lima
Assistente de Arte: Lara Domingues
Still: Felipe Gomes
Assistente de Foto (still): Gustavo Delgado
Finalização: Felipe Gomes

Styling: Victor Miranda
Produção de Moda: Jorge Moura
Beauty: Pedro Moreira
Assistente de Beauty: Daniel Cannavan
Empresariamento: Music2Mynd

#INTERESSEIRA #DOCE22 #LUISASONZA",https://i.ytimg.com/vi/5js-3DnNvFw/default.jpg,https://i.ytimg.com/vi/5js-3DnNvFw/mqdefault.jpg,Luísa Sonza,Luísa Sonza - INTERE$$EIRA (Lyric Video),"SIGA LUÍSA SONZA:
https://www.facebook.com/LuisaSonza
https://twitter.com/luisasonza
https://www.instagram.com/luisasonza

Ficha Técnica

Produtora: Gafe
Direção Felipe Gomes, Luísa Sonza
Direção de Fotografia: Pedro Saviolli
Direção de arte: Gabi Lisboa
Assistente de Foto: Fernando Lima
Assistente de Arte: Lara Domingues
Still: Felipe Gomes
Assistente de Foto (still): Gustavo Delgado
Finalização: Felipe Gomes

Styling: Victor Miranda
Produção de Moda: Jorge Moura
Beauty: Pedro Moreira
Assistente de Beauty: Daniel Cannavan
Empresariamento: Music2Mynd

#INTERESSEIRA #DOCE22 #LUISASONZA",processed,public,youtube,True,True,False,1531362,206036,3287,"<iframe width=""480"" height=""360"" src=""//www.youtube.com/embed/5js-3DnNvFw"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
2021-07-22T15:03:43Z,O CAMPEÃO VOLTOU? MENGÃO ATROPELA O DEFENSA Y JUSTICIA NA LIBERTADORES | JOGO ABERTO,"Renata Fan e Denílson Show debateram sobre o atropelo do Flamengo em cima do Defensa Y Justicia, que resultou na classificação para as quartas de final da Libertadores. O Campeão voltou? #JogoAberto

INSCREVA-SE NO CANAL E NÃO PERCA NENHUM DETALHE DO JOGO ABERTO.

Quer ver mais sobre o programa? Acesse o site do JOGO ABERTO: https://bit.ly/39GEp7Z​

Siga o Jogo Aberto nas redes sociais: 

Instagram: https://www.instagram.com/jogoaberto/​
Twitter: https://twitter.com/bandjogoaberto​
Facebook: https://www.facebook.com/jogoaberto",https://i.ytimg.com/vi/VpdJFa1rtKI/default.jpg,https://i.ytimg.com/vi/VpdJFa1rtKI/mqdefault.jpg,Jogo Aberto,O CAMPEÃO VOLTOU? MENGÃO ATROPELA O DEFENSA Y JUSTICIA NA LIBERTADORES | JOGO ABERTO,"Renata Fan e Denílson Show debateram sobre o atropelo do Flamengo em cima do Defensa Y Justicia, que resultou na classificação para as quartas de final da Libertadores. O Campeão voltou? #JogoAberto

INSCREVA-SE NO CANAL E NÃO PERCA NENHUM DETALHE DO JOGO ABERTO.

Quer ver mais sobre o programa? Acesse o site do JOGO ABERTO: https://bit.ly/39GEp7Z​

Siga o Jogo Aberto nas redes sociais: 

Instagram: https://www.instagram.com/jogoaberto/​
Twitter: https://twitter.com/bandjogoaberto​
Facebook: https://www.facebook.com/jogoaberto",processed,public,youtube,True,True,False,391183,23913,232,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/VpdJFa1rtKI"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
2021-07-22T14:00:07Z,Matheus & Kauan - Perigo,"Inscreva-se no canal 👉  https://bit.ly/MEKInscrevase 

Ouça o EP Expectativa x Realidade: https://umusicbrazil.lnk.to/ExpectativaxRealidadeYD

SIGA MATHEUS E KAUAN:
https://www.instagram.com/matheusekauan  
https://twitter.com/matheusekauan   
https://tiktok.com/@matheusekauan  
https://www.facebook.com/matheusekauan


Perigo
(Matheus Aleixo e Marco Carvalho)

Se a intenção não é ficar
Para que beijar com sentimento?
Deitar do lado e me alisar
Depois de um sexo lento

Para que segurar na minha nuca 
E me devorar com os olhos
Na hora ``H´´ grita sou sua 
Malandro, você sabe que eu adoro

Para que fazer tudo isso 
Depois de se divertir
Simplesmente levantar e sair.

É bem aí que mora o perigo
Quando um tá levando a sério e o outro iludindo
Um já deixou bem claro que ama
E o outro não leva sentimento para fora da cama

É bem aí que mora o perigo
Quando um tá levando a sério e o outro iludindo
Um já deixou bem claro que ama
E o outro não leva sentimento para fora da cama

Um tem ciúmes e saudades 
O outro só fogo e vontade
Um amando de mentira 
E o outro jurando que é verdade
E um tem ciúmes e saudades 
O outro só fogo e vontade
Um amando de mentira 
E o outro jurando que é verdade

Para que segurar na minha nuca 
E me devorar com os olhos
Na hora ``H´´ grita sou sua
Malandro, você sabe que eu adoro
Para que fazer tudo isso depois de se divertir
Simplesmente levantar e sair

É bem aí que mora o perigo
Quando um tá levando a sério e o outro iludindo
Um já deixou bem claro que ama
E o outro não leva sentimento para fora da cama

É bem aí que mora o perigo
Quando um tá levando a sério e o outro iludindo
Um já deixou bem claro que ama
E o outro não leva sentimento para fora da cama

Um tem ciúmes e saudades
O outro só fogo e vontade
Um amando de mentira 
E o outro jurando que é verdade
E um tem ciúmes e saudades 
O outro só fogo e vontade
Um amando de mentira 
E o outro jurando que é verdade

Direção A&R: Miguel Cariello e Henrique Badke 
Gerência A&R: Daniel Rigon 
Coordenação A&R: Alice Baldan
Label Manager: Léo Nunes
Produção Musical: Lucas Santos 
Direção de Vídeo: Anselmo Troncoso

#MatheuseKauan #Perigo 

Music video by Matheus & Kauan performing Perigo. © 2021 Universal Music Ltda

http://vevo.ly/Y9eB0A",https://i.ytimg.com/vi/Orql9sNgohw/default.jpg,https://i.ytimg.com/vi/Orql9sNgohw/mqdefault.jpg,MatheusKauanVEVO,Matheus & Kauan - Perigo,"Inscreva-se no canal 👉  https://bit.ly/MEKInscrevase 

Ouça o EP Expectativa x Realidade: https://umusicbrazil.lnk.to/ExpectativaxRealidadeYD

SIGA MATHEUS E KAUAN:
https://www.instagram.com/matheusekauan  
https://twitter.com/matheusekauan   
https://tiktok.com/@matheusekauan  
https://www.facebook.com/matheusekauan


Perigo
(Matheus Aleixo e Marco Carvalho)

Se a intenção não é ficar
Para que beijar com sentimento?
Deitar do lado e me alisar
Depois de um sexo lento

Para que segurar na minha nuca 
E me devorar com os olhos
Na hora ``H´´ grita sou sua 
Malandro, você sabe que eu adoro

Para que fazer tudo isso 
Depois de se divertir
Simplesmente levantar e sair.

É bem aí que mora o perigo
Quando um tá levando a sério e o outro iludindo
Um já deixou bem claro que ama
E o outro não leva sentimento para fora da cama

É bem aí que mora o perigo
Quando um tá levando a sério e o outro iludindo
Um já deixou bem claro que ama
E o outro não leva sentimento para fora da cama

Um tem ciúmes e saudades 
O outro só fogo e vontade
Um amando de mentira 
E o outro jurando que é verdade
E um tem ciúmes e saudades 
O outro só fogo e vontade
Um amando de mentira 
E o outro jurando que é verdade

Para que segurar na minha nuca 
E me devorar com os olhos
Na hora ``H´´ grita sou sua
Malandro, você sabe que eu adoro
Para que fazer tudo isso depois de se divertir
Simplesmente levantar e sair

É bem aí que mora o perigo
Quando um tá levando a sério e o outro iludindo
Um já deixou bem claro que ama
E o outro não leva sentimento para fora da cama

É bem aí que mora o perigo
Quando um tá levando a sério e o outro iludindo
Um já deixou bem claro que ama
E o outro não leva sentimento para fora da cama

Um tem ciúmes e saudades
O outro só fogo e vontade
Um amando de mentira 
E o outro jurando que é verdade
E um tem ciúmes e saudades 
O outro só fogo e vontade
Um amando de mentira 
E o outro jurando que é verdade

Direção A&R: Miguel Cariello e Henrique Badke 
Gerência A&R: Daniel Rigon 
Coordenação A&R: Alice Baldan
Label Manager: Léo Nunes
Produção Musical: Lucas Santos 
Direção de Vídeo: Anselmo Troncoso

#MatheuseKauan #Perigo 

Music video by Matheus & Kauan performing Perigo. © 2021 Universal Music Ltda

http://vevo.ly/Y9eB0A",processed,public,youtube,True,True,False,229818,15400,81,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/Orql9sNgohw"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
2021-07-22T13:26:01Z,FINALMENTE ME ENCONTREI COM MEUS AMIGOS * agora as férias começam de verdade *,"Instagram Oficial   https://www.instagram.com/thireisyt/
Galera depois de muito esconder de tanto suspense e espera finalmente meus amigos estão no meu hotel 


🛒 SITE Preços mais baratos https://linktr.ee/thireis_loja_canal_contato e frete fixo 10,00 pra Londrina e região pelo whats
 *entregas pra todo o Brasil*

MERCADOLIVRE frete GRÁTIS comprando 2 peças ou mais 
https://lista.mercadolivre.com.br/_CustId_709651973 *entregas pra todo o Brasil*
                     
📩  Email para Parcerias  assessoria.thiagoreis@outlook.com
                            ◼◼◼◼◼◼◼◼◼◼◼◼◼◼
 🎮 PICHAU GAMING  PC GAMER  http://bit.ly/PichauThiago 
                           🔹🔹🔹🔹🔹🔹🔹🔹🔹🔹🔹

🏍🚘👨‍👩‍👦🚲🛴🪂⛳🛹🎮🏆⚽🏓🥅🏹🤿
✔️ CANAL DE ENTRETENIMENTO ✔️ 

🎥 CANAL PÉROLA REIS 
 https://www.youtube.com/channel/UCdtHQQ2MGFwIAA4pUvOdn_A
#cancún #méxico #ep6 #férias #amigos #encontrei",https://i.ytimg.com/vi/cum6FS9f5v8/default.jpg,https://i.ytimg.com/vi/cum6FS9f5v8/mqdefault.jpg,Thiago Reis,FINALMENTE ME ENCONTREI COM MEUS AMIGOS * agora as férias começam de verdade *,"Instagram Oficial   https://www.instagram.com/thireisyt/
Galera depois de muito esconder de tanto suspense e espera finalmente meus amigos estão no meu hotel 


🛒 SITE Preços mais baratos https://linktr.ee/thireis_loja_canal_contato e frete fixo 10,00 pra Londrina e região pelo whats
 *entregas pra todo o Brasil*

MERCADOLIVRE frete GRÁTIS comprando 2 peças ou mais 
https://lista.mercadolivre.com.br/_CustId_709651973 *entregas pra todo o Brasil*
                     
📩  Email para Parcerias  assessoria.thiagoreis@outlook.com
                            ◼◼◼◼◼◼◼◼◼◼◼◼◼◼
 🎮 PICHAU GAMING  PC GAMER  http://bit.ly/PichauThiago 
                           🔹🔹🔹🔹🔹🔹🔹🔹🔹🔹🔹

🏍🚘👨‍👩‍👦🚲🛴🪂⛳🛹🎮🏆⚽🏓🥅🏹🤿
✔️ CANAL DE ENTRETENIMENTO ✔️ 

🎥 CANAL PÉROLA REIS 
 https://www.youtube.com/channel/UCdtHQQ2MGFwIAA4pUvOdn_A
#cancún #méxico #ep6 #férias #amigos #encontrei",processed,public,youtube,True,True,False,589631,86431,480,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/cum6FS9f5v8"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
2021-07-22T14:59:46Z,Tierry - MÁQUINA ZERO (DVD / O Pai das Crianças),"OUÇA TAMBÉM 👇
SPOTIFY 👉 https://open.spotify.com/track/1nDCZB... 
DEEZER 👉 https://www.deezer.com/br/artist/3126151 
SHOWS: Toninho: +55 62 9944-3121  +55 71 98194-1408

Siga Tierry nas redes sociais! 
Instagram: https://www.instagram.com/tierry/ 
Twitter: https://twitter.com/tierry 
YouTube: https://www.youtube.com/tierryoficial
Tiktok: https://www.tiktok.com/@otiehit
Facebook: https://www.facebook.com/tierry

Máquina Zero
(Tierry, Matheus Kennedy, Cristian Luz e Junior Lobo)

Logo eu, que batia no peito que eu nunca levei e nem ia levar
Tô aqui, sentindo na testa o que eu sempre falei que eu não ia tomar 
Lá vai mais um boi triste pro salão 
Pra ver se eu dou um jeito nisso 
Barbeiro eu sei que o corte é vintão mas cobra só dezão e deixa dez pro litro
Passa a máquina zero companheiro 
Passa a máquina zero companheiro
Pra ver se o chifre sai junto com meu cabelo 
Pra ver se o chifre sai junto com meu cabelo 
Passa a máquina zero companheiro 
Passa a máquina zero companheiro
Pra ver se o chifre sai junto com meu cabelo 
Pra ver se o chifre sai

Logo eu, que batia no peito que eu nunca levei e nem ia levar
Tô aqui, sentindo na testa o que eu sempre falei que eu não ia tomar 
Lá vai mais um boi triste pro salão 
Pra ver se eu dou um jeito nisso 
Barbeiro eu sei que o corte é vintão mas cobra só dezão e deixa dez pro litro
Passa a máquina zero companheiro 
Passa a máquina zero companheiro
Pra ver se o chifre sai junto com meu cabelo 
Pra ver se o chifre sai junto com meu cabelo 
Passa a máquina zero companheiro 
Passa a máquina zero companheiro
Pra ver se o chifre sai junto com meu cabelo 
Pra ver se o chifre sai
Passa a máquina zero companheiro 
Passa a máquina zero companheiro
Pra ver se o chifre sai junto com meu cabelo 
Pra ver se o chifre sai junto com meu cabelo 
Passa a máquina zero companheiro 
Passa a máquina zero companheiro
Pra ver se o chifre sai 
Pra ver se o chifre sai

Virgin Music Brasil
Direção Geral: Miguel Cariello
Gerente de A&R: Rodrigo Cardoso
Coordenação de A&R: Alice Baldan
Produção Musical: Matheus Kennedy
Direção de Vídeo: Calango Filmes

#Tierry #MáquinaZero #DVDOPaidasCrianças",https://i.ytimg.com/vi/UN3RRsFfvhA/default.jpg,https://i.ytimg.com/vi/UN3RRsFfvhA/mqdefault.jpg,Tierry Oficial,Tierry - MÁQUINA ZERO (DVD / O Pai das Crianças),"OUÇA TAMBÉM 👇
SPOTIFY 👉 https://open.spotify.com/track/1nDCZB... 
DEEZER 👉 https://www.deezer.com/br/artist/3126151 
SHOWS: Toninho: +55 62 9944-3121  +55 71 98194-1408

Siga Tierry nas redes sociais! 
Instagram: https://www.instagram.com/tierry/ 
Twitter: https://twitter.com/tierry 
YouTube: https://www.youtube.com/tierryoficial
Tiktok: https://www.tiktok.com/@otiehit
Facebook: https://www.facebook.com/tierry

Máquina Zero
(Tierry, Matheus Kennedy, Cristian Luz e Junior Lobo)

Logo eu, que batia no peito que eu nunca levei e nem ia levar
Tô aqui, sentindo na testa o que eu sempre falei que eu não ia tomar 
Lá vai mais um boi triste pro salão 
Pra ver se eu dou um jeito nisso 
Barbeiro eu sei que o corte é vintão mas cobra só dezão e deixa dez pro litro
Passa a máquina zero companheiro 
Passa a máquina zero companheiro
Pra ver se o chifre sai junto com meu cabelo 
Pra ver se o chifre sai junto com meu cabelo 
Passa a máquina zero companheiro 
Passa a máquina zero companheiro
Pra ver se o chifre sai junto com meu cabelo 
Pra ver se o chifre sai

Logo eu, que batia no peito que eu nunca levei e nem ia levar
Tô aqui, sentindo na testa o que eu sempre falei que eu não ia tomar 
Lá vai mais um boi triste pro salão 
Pra ver se eu dou um jeito nisso 
Barbeiro eu sei que o corte é vintão mas cobra só dezão e deixa dez pro litro
Passa a máquina zero companheiro 
Passa a máquina zero companheiro
Pra ver se o chifre sai junto com meu cabelo 
Pra ver se o chifre sai junto com meu cabelo 
Passa a máquina zero companheiro 
Passa a máquina zero companheiro
Pra ver se o chifre sai junto com meu cabelo 
Pra ver se o chifre sai
Passa a máquina zero companheiro 
Passa a máquina zero companheiro
Pra ver se o chifre sai junto com meu cabelo 
Pra ver se o chifre sai junto com meu cabelo 
Passa a máquina zero companheiro 
Passa a máquina zero companheiro
Pra ver se o chifre sai 
Pra ver se o chifre sai

Virgin Music Brasil
Direção Geral: Miguel Cariello
Gerente de A&R: Rodrigo Cardoso
Coordenação de A&R: Alice Baldan
Produção Musical: Matheus Kennedy
Direção de Vídeo: Calango Filmes

#Tierry #MáquinaZero #DVDOPaidasCrianças",processed,public,youtube,True,True,False,598871,15625,154,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/UN3RRsFfvhA"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
2021-07-21T21:15:03Z,A VERDADEIRA HISTÓRIA DO FOLCLORE BRASILEIRO,"A ORIGEM DO FOLCLORE BRASILEIRO
00:00 - O Folclore
01:29 - Saci Pererê
04:35 - Curupira
07:16 - Cuca
08:39 - Mula sem Cabeça
10:42 - Lobisomem",https://i.ytimg.com/vi/iQmDYmbXPcs/default.jpg,https://i.ytimg.com/vi/iQmDYmbXPcs/mqdefault.jpg,Você Sabia?,A VERDADEIRA HISTÓRIA DO FOLCLORE BRASILEIRO,"A ORIGEM DO FOLCLORE BRASILEIRO
00:00 - O Folclore
01:29 - Saci Pererê
04:35 - Curupira
07:16 - Cuca
08:39 - Mula sem Cabeça
10:42 - Lobisomem",processed,public,youtube,True,True,False,998938,168153,1002,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/iQmDYmbXPcs"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
2021-07-22T03:43:38Z,ENTREVISTA RENATO GAÚCHO - FLAMENGO 4x1 DEFENSA Y JUSTICIA LIBERTADORES.,"ENTREVISTA RENATO GAÚCHO - FLAMENGO 4x1 DEFENSA Y JUSTICIA - LIBERTADORES
#Flamengo
#Defensayjusticia
#Renatogaúcho
Seja membro deste canal e ganhe benefícios:
https://www.youtube.com/channel/UCSPgbmRFJQ_IM7jkzgXxuIw/join
Instagram: @marcosflareact

TAGS:
mengo,fla,rubro negro,nação,SRN,flamengo hoje,#Flamengo,Mengão,Marcos Fla,futebol,flamengo,Fla notícias,últimas notícias do Flamengo,notícias do flamengo,reforços no flamengo,arrascaeta,gabigol,Diego,Renato,Gaúcho,Portalupi,Portaluppi,Entrevista,Clube de Regatas do Flamengo,coletiva,pós-jogo,pré-jogo,fla tv,ao vivo,jogo,vamos rir,bahia x flamengo,jogo do flamengo,#Defensayjusticia,#Renatogaúcho,ENTREVISTA RENATO GAÚCHO,FLAMENGO 4x1 DEFENSA Y JUSTICIA,LIBERTADORES.
React FLAMENGO 4x1 DEFENSA Y JUSTICIA, reações FLAMENGO 4x1 DEFENSA Y JUSTICIA, narrações FLAMENGO 4x1 DEFENSA Y JUSTICIA, melhores momentos FLAMENGO 4x1 DEFENSA Y JUSTICIA.",https://i.ytimg.com/vi/R3UtpjYNprA/default.jpg,https://i.ytimg.com/vi/R3UtpjYNprA/mqdefault.jpg,Marcos FLA React,ENTREVISTA RENATO GAÚCHO - FLAMENGO 4x1 DEFENSA Y JUSTICIA LIBERTADORES.,"ENTREVISTA RENATO GAÚCHO - FLAMENGO 4x1 DEFENSA Y JUSTICIA - LIBERTADORES
#Flamengo
#Defensayjusticia
#Renatogaúcho
Seja membro deste canal e ganhe benefícios:
https://www.youtube.com/channel/UCSPgbmRFJQ_IM7jkzgXxuIw/join
Instagram: @marcosflareact

TAGS:
mengo,fla,rubro negro,nação,SRN,flamengo hoje,#Flamengo,Mengão,Marcos Fla,futebol,flamengo,Fla notícias,últimas notícias do Flamengo,notícias do flamengo,reforços no flamengo,arrascaeta,gabigol,Diego,Renato,Gaúcho,Portalupi,Portaluppi,Entrevista,Clube de Regatas do Flamengo,coletiva,pós-jogo,pré-jogo,fla tv,ao vivo,jogo,vamos rir,bahia x flamengo,jogo do flamengo,#Defensayjusticia,#Renatogaúcho,ENTREVISTA RENATO GAÚCHO,FLAMENGO 4x1 DEFENSA Y JUSTICIA,LIBERTADORES.
React FLAMENGO 4x1 DEFENSA Y JUSTICIA, reações FLAMENGO 4x1 DEFENSA Y JUSTICIA, narrações FLAMENGO 4x1 DEFENSA Y JUSTICIA, melhores momentos FLAMENGO 4x1 DEFENSA Y JUSTICIA.",processed,public,youtube,True,True,False,300400,17482,157,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/R3UtpjYNprA"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
2021-07-22T15:00:00Z,"TOUR PELA CASA NOVA, SIMPLESMENTE AMEI ❤️","✅Parcerias: familiacamargocomercial@gmail.com 

Canal Stories da Adeline.
https://www.youtube.com/channel/UCPmpaZIfVV_QGVv1dkfowvA

✅Os vídeos mais assistidos do YouTube
         ✔ O Que Tem no Lixo dos Americanos
         https://www.youtube.com/watch?v=cPmweTCzfDg&t=158s   
         ✔ DUMPSTER DIVING - O QUE TEM NO LIXO DAS LOJAS - USA #1
         https://www.youtube.com/watch?v=6MgR1bGFwzw&t=300s
         ✔ LOJA JOGA TUDO NOVO NO LIXO - O MAIOR ACHADO DO CANAL
         https://www.youtube.com/watch?v=rbKkshWTmOA&t=471s

✅ Instagram 📸: @adelinecamargooficial https://www.instagram.com/adelinecamargooficial
✅ Fanpage           @adelinecamargooficial https://www.facebook.com/adelinecamargooficial
✅ YouTube   https://www.youtube.com/c/AdelineCamargo
✅ Curta o vídeo 👍
✅Ative as notificações! ((🔔))📲


✅Link do canal do Agatha
https://www.youtube.com/c/AgathaCamargo

#AdelineCamargo",https://i.ytimg.com/vi/a4fi8v4iOy0/default.jpg,https://i.ytimg.com/vi/a4fi8v4iOy0/mqdefault.jpg,Adeline Camargo,"TOUR PELA CASA NOVA, SIMPLESMENTE AMEI ❤️","✅Parcerias: familiacamargocomercial@gmail.com 

Canal Stories da Adeline.
https://www.youtube.com/channel/UCPmpaZIfVV_QGVv1dkfowvA

✅Os vídeos mais assistidos do YouTube
         ✔ O Que Tem no Lixo dos Americanos
         https://www.youtube.com/watch?v=cPmweTCzfDg&t=158s   
         ✔ DUMPSTER DIVING - O QUE TEM NO LIXO DAS LOJAS - USA #1
         https://www.youtube.com/watch?v=6MgR1bGFwzw&t=300s
         ✔ LOJA JOGA TUDO NOVO NO LIXO - O MAIOR ACHADO DO CANAL
         https://www.youtube.com/watch?v=rbKkshWTmOA&t=471s

✅ Instagram 📸: @adelinecamargooficial https://www.instagram.com/adelinecamargooficial
✅ Fanpage           @adelinecamargooficial https://www.facebook.com/adelinecamargooficial
✅ YouTube   https://www.youtube.com/c/AdelineCamargo
✅ Curta o vídeo 👍
✅Ative as notificações! ((🔔))📲


✅Link do canal do Agatha
https://www.youtube.com/c/AgathaCamargo

#AdelineCamargo",processed,public,youtube,True,True,False,129134,29209,132,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/a4fi8v4iOy0"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
