snippet.publishedAt,snippet.title,snippet.description,snippet.thumbnails.default.url,snippet.thumbnails.medium.url,snippet.channelTitle,snippet.localized.title,snippet.localized.description,status.uploadStatus,status.privacyStatus,status.license,status.embeddable,status.publicStatsViewable,status.madeForKids,statistics.viewCount,statistics.likeCount,statistics.dislikeCount,player.embedHtml
2021-07-21T18:00:06Z,I FILLED MY ISLAND HOUSE WITH PACKING PEANUTS!,"CHECK OUT CHASECRAFT on iOS :: https://apps.apple.com/us/app/chasecraft-epic-running-game/id1429849471
and Android :: https://play.google.com/store/apps/details?id=com.uilmedia.chasecraft&hl=en_US&gl=US

 NEW MERCH! - https://www.unspeakable.com/

PLAY NEW GAMES! - https://www.unspeakable.com/pages/play-games

FOLLOW ME! - https://www.unspeakable.com/pages/links

PLEASE leave a like & subscribe this video was expensive!! THANK YOU! I love tacos",https://i.ytimg.com/vi/Y3sj_v62dpc/default.jpg,https://i.ytimg.com/vi/Y3sj_v62dpc/mqdefault.jpg,Unspeakable,I FILLED MY ISLAND HOUSE WITH PACKING PEANUTS!,"CHECK OUT CHASECRAFT on iOS :: https://apps.apple.com/us/app/chasecraft-epic-running-game/id1429849471
and Android :: https://play.google.com/store/apps/details?id=com.uilmedia.chasecraft&hl=en_US&gl=US

 NEW MERCH! - https://www.unspeakable.com/

PLAY NEW GAMES! - https://www.unspeakable.com/pages/play-games

FOLLOW ME! - https://www.unspeakable.com/pages/links

PLEASE leave a like & subscribe this video was expensive!! THANK YOU! I love tacos",processed,public,youtube,True,False,False,3945994,101089,3084,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/Y3sj_v62dpc"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
2021-07-21T21:41:14Z,"Best Sand Art Wins $5,000 Challenge! | ZHC Crafts","I can't believe we made art out of sand
Subscribe To Help Fund ZHC's Expensive Videos @ZHC 

New Merch: https://zhcstore.com/

IG - @zhc
Twitter - @zhc_yt
IG - @munchie.michelle
IG - @itsvivee
IG - @jakeriley__
IG - @mckenziebellll
IG - @jazlynzepeda_
IG - @isabellaaddison
IG - @benmaedo",https://i.ytimg.com/vi/aVxHSHzm4kE/default.jpg,https://i.ytimg.com/vi/aVxHSHzm4kE/mqdefault.jpg,ZHC Crafts,"Best Sand Art Wins $5,000 Challenge! | ZHC Crafts","I can't believe we made art out of sand
Subscribe To Help Fund ZHC's Expensive Videos @ZHC 

New Merch: https://zhcstore.com/

IG - @zhc
Twitter - @zhc_yt
IG - @munchie.michelle
IG - @itsvivee
IG - @jakeriley__
IG - @mckenziebellll
IG - @jazlynzepeda_
IG - @isabellaaddison
IG - @benmaedo",processed,public,youtube,True,True,False,2204582,89100,1375,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/aVxHSHzm4kE"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
2021-07-22T13:00:04Z,Dune | Official Main Trailer,"IT’S TIME. #DuneMovie coming October 22.

-----------------
https://www.instagram.com/dunemovie/
https://www.facebook.com/dune
https://twitter.com/dunemovie 
-----------------

Oscar nominee Denis Villeneuve (“Arrival,” “Blade Runner 2049”) directs Warner Bros. Pictures and Legendary Pictures’ “Dune,” the big-screen adaptation of Frank Herbert’s seminal bestseller of the same name.

A mythic and emotionally charged hero’s journey, “Dune” tells the story of Paul Atreides, a brilliant and gifted young man born into a great destiny beyond his understanding, who must travel to the most dangerous planet in the universe to ensure the future of his family and his people. As malevolent forces explode into conflict over the planet’s exclusive supply of the most precious resource in existence—a commodity capable of unlocking humanity’s greatest potential—only those who can conquer their fear will survive.

The film stars Oscar nominee Timothée Chalamet (“Call Me by Your Name,” “Little Women”), Rebecca Ferguson (“Stephen King’s Doctor Sleep,” “Mission: Impossible – Fallout”), Oscar Isaac (the “Star Wars” franchise) Oscar nominee Josh Brolin (“Milk,” “Avengers: Infinity War”), Stellan Skarsgård (HBO’s “Chernobyl,” “Avengers: Age of Ultron”), Dave Bautista (the “Guardians of the Galaxy” films, “Avengers: Endgame”), Stephen McKinley Henderson (“Fences,” “Lady Bird”), Zendaya (“Spider-Man: Homecoming,” HBO’s “Euphoria”), Chang Chen (“Mr. Long,” “Crouching Tiger, Hidden Dragon”), David Dastmalchian (“Blade Runner 2049,” “The Dark Knight”), Sharon Duncan-Brewster (“Rogue One: A Star Wars Story,” Netflix’s “Sex Education”), with Oscar nominee Charlotte Rampling (“45 Years,” “Assassin’s Creed”), with Jason Momoa (“Aquaman,” HBO’s “Game of Thrones”), and Oscar winner Javier Bardem (“No Country for Old Men,” “Skyfall”).

Villeneuve directed “Dune” from a screenplay by Jon Spaihts and Villeneuve and Eric Roth based on the novel of the same name written by Frank Herbert. Villeneuve also produced the film with Mary Parent, Cale Boyter and Joe Caracciolo, Jr. The executive producers are Tanya Lapointe, Joshua Grode, Herbert W. Gains, Jon Spaihts, Thomas Tull, Brian Herbert, Byron Merritt and Kim Herbert.

Behind the scenes, Villeneuve reteamed with two-time Oscar-nominated production designer Patrice Vermette (“Arrival,” “Sicario,” “The Young Victoria”), two-time Oscar-nominated editor Joe Walker (“Blade Runner 2049,” “Arrival,” “12 Years a Slave”), two-time Oscar-winning visual effects supervisor Paul Lambert (“First Man,” “Blade Runner 2049”), and Oscar-winning special effects supervisor Gerd Nefzer (“Blade Runner 2049”). He also collaborated for the first time with Oscar-nominated director of photography Greig Fraser (“Lion,” “Zero Dark Thirty,” “Rogue One: A Star Wars Story”); three-time Oscar-nominated costume designer Jacqueline West (“The Revenant,” “The Curious Case of Benjamin Button,” “Quills”) and costume designer Robert Morgan; and stunt coordinator Tom Struthers (“The Dark Knight” trilogy, “Inception”). Oscar-winning and multiple Oscar-nominated composer Hans Zimmer (“Blade Runner 2049,” “Inception,” “Gladiator,” “The Lion King”) is creating the score.

Warner Bros. Pictures and Legendary Pictures Present a Legendary Pictures Production, a Film by Denis Villeneuve, “Dune.” The film is slated to be released in select theaters in 2D and 3D and IMAX and on HBO Max on October 22, 2021 and will be available on HBO Max’s Ad-Free plan in 4K UHD, HDR10, Dolby Vision and Dolby Atmos (English Only) on supported devices for 31 days from theatrical release.

The film has been rated PG-13 for sequences of strong violence, some disturbing images and suggestive material.",https://i.ytimg.com/vi/8g18jFHCLXk/default.jpg,https://i.ytimg.com/vi/8g18jFHCLXk/mqdefault.jpg,Warner Bros. Pictures,Dune | Official Main Trailer,"IT’S TIME. #DuneMovie coming October 22.

-----------------
https://www.instagram.com/dunemovie/
https://www.facebook.com/dune
https://twitter.com/dunemovie 
-----------------

Oscar nominee Denis Villeneuve (“Arrival,” “Blade Runner 2049”) directs Warner Bros. Pictures and Legendary Pictures’ “Dune,” the big-screen adaptation of Frank Herbert’s seminal bestseller of the same name.

A mythic and emotionally charged hero’s journey, “Dune” tells the story of Paul Atreides, a brilliant and gifted young man born into a great destiny beyond his understanding, who must travel to the most dangerous planet in the universe to ensure the future of his family and his people. As malevolent forces explode into conflict over the planet’s exclusive supply of the most precious resource in existence—a commodity capable of unlocking humanity’s greatest potential—only those who can conquer their fear will survive.

The film stars Oscar nominee Timothée Chalamet (“Call Me by Your Name,” “Little Women”), Rebecca Ferguson (“Stephen King’s Doctor Sleep,” “Mission: Impossible – Fallout”), Oscar Isaac (the “Star Wars” franchise) Oscar nominee Josh Brolin (“Milk,” “Avengers: Infinity War”), Stellan Skarsgård (HBO’s “Chernobyl,” “Avengers: Age of Ultron”), Dave Bautista (the “Guardians of the Galaxy” films, “Avengers: Endgame”), Stephen McKinley Henderson (“Fences,” “Lady Bird”), Zendaya (“Spider-Man: Homecoming,” HBO’s “Euphoria”), Chang Chen (“Mr. Long,” “Crouching Tiger, Hidden Dragon”), David Dastmalchian (“Blade Runner 2049,” “The Dark Knight”), Sharon Duncan-Brewster (“Rogue One: A Star Wars Story,” Netflix’s “Sex Education”), with Oscar nominee Charlotte Rampling (“45 Years,” “Assassin’s Creed”), with Jason Momoa (“Aquaman,” HBO’s “Game of Thrones”), and Oscar winner Javier Bardem (“No Country for Old Men,” “Skyfall”).

Villeneuve directed “Dune” from a screenplay by Jon Spaihts and Villeneuve and Eric Roth based on the novel of the same name written by Frank Herbert. Villeneuve also produced the film with Mary Parent, Cale Boyter and Joe Caracciolo, Jr. The executive producers are Tanya Lapointe, Joshua Grode, Herbert W. Gains, Jon Spaihts, Thomas Tull, Brian Herbert, Byron Merritt and Kim Herbert.

Behind the scenes, Villeneuve reteamed with two-time Oscar-nominated production designer Patrice Vermette (“Arrival,” “Sicario,” “The Young Victoria”), two-time Oscar-nominated editor Joe Walker (“Blade Runner 2049,” “Arrival,” “12 Years a Slave”), two-time Oscar-winning visual effects supervisor Paul Lambert (“First Man,” “Blade Runner 2049”), and Oscar-winning special effects supervisor Gerd Nefzer (“Blade Runner 2049”). He also collaborated for the first time with Oscar-nominated director of photography Greig Fraser (“Lion,” “Zero Dark Thirty,” “Rogue One: A Star Wars Story”); three-time Oscar-nominated costume designer Jacqueline West (“The Revenant,” “The Curious Case of Benjamin Button,” “Quills”) and costume designer Robert Morgan; and stunt coordinator Tom Struthers (“The Dark Knight” trilogy, “Inception”). Oscar-winning and multiple Oscar-nominated composer Hans Zimmer (“Blade Runner 2049,” “Inception,” “Gladiator,” “The Lion King”) is creating the score.

Warner Bros. Pictures and Legendary Pictures Present a Legendary Pictures Production, a Film by Denis Villeneuve, “Dune.” The film is slated to be released in select theaters in 2D and 3D and IMAX and on HBO Max on October 22, 2021 and will be available on HBO Max’s Ad-Free plan in 4K UHD, HDR10, Dolby Vision and Dolby Atmos (English Only) on supported devices for 31 days from theatrical release.

The film has been rated PG-13 for sequences of strong violence, some disturbing images and suggestive material.",processed,public,youtube,True,False,False,3725450,145277,2302,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/8g18jFHCLXk"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
2021-07-22T17:44:43Z,Battlefield 2042 | Battlefield Portal Official Trailer,"Play Battlefield™ 2042 starting October 22, 2021

Discover Battlefield Portal – an all-new, community-driven platform where players will be able to change the rules of war by creating, sharing and discovering unexpected battles from Battlefield’s iconic past, present, and future.

Battlefield 2042 is a first-person shooter that marks the return to the iconic all-out warfare of the franchise. Adapt and overcome in a near-future world transformed by disorder. Squad up and bring a cutting-edge arsenal into dynamically-changing battlegrounds supporting 128 players*, unprecedented scale, and epic destruction.

Pre-order now for early Open Beta access and more: http://x.ea.com/68944 

Find out more about Battlefield: http://x.ea.com/68674

See the Battlefield 2042 Official Reveal Trailer: https://www.youtube.com/watch?v=ASzOzrB-a9E

See the Battlefield 2042 Official Gameplay Trailer: https://www.youtube.com/watch?v=WomAGoEh-Ss 

Follow us on Twitter: https://twitter.com/battlefield
Follow us on Instagram: https://www.instagram.com/battlefield
Follow us on Facebook: https://www.facebook.com/battlefield

#Battlefield #Battlefield2042 #BattlefieldPortal
*Supported on Xbox Series X|S, PC and PlayStation®5. Xbox One and PlayStation®4 will be locked at 64 players",https://i.ytimg.com/vi/q4qWMcQfOCc/default.jpg,https://i.ytimg.com/vi/q4qWMcQfOCc/mqdefault.jpg,Battlefield,Battlefield 2042 | Battlefield Portal Official Trailer,"Play Battlefield™ 2042 starting October 22, 2021

Discover Battlefield Portal – an all-new, community-driven platform where players will be able to change the rules of war by creating, sharing and discovering unexpected battles from Battlefield’s iconic past, present, and future.

Battlefield 2042 is a first-person shooter that marks the return to the iconic all-out warfare of the franchise. Adapt and overcome in a near-future world transformed by disorder. Squad up and bring a cutting-edge arsenal into dynamically-changing battlegrounds supporting 128 players*, unprecedented scale, and epic destruction.

Pre-order now for early Open Beta access and more: http://x.ea.com/68944 

Find out more about Battlefield: http://x.ea.com/68674

See the Battlefield 2042 Official Reveal Trailer: https://www.youtube.com/watch?v=ASzOzrB-a9E

See the Battlefield 2042 Official Gameplay Trailer: https://www.youtube.com/watch?v=WomAGoEh-Ss 

Follow us on Twitter: https://twitter.com/battlefield
Follow us on Instagram: https://www.instagram.com/battlefield
Follow us on Facebook: https://www.facebook.com/battlefield

#Battlefield #Battlefield2042 #BattlefieldPortal
*Supported on Xbox Series X|S, PC and PlayStation®5. Xbox One and PlayStation®4 will be locked at 64 players",processed,public,youtube,True,False,False,1443476,154428,1905,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/q4qWMcQfOCc"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
2021-07-21T05:30:14Z,2nd ODI Highlights | Sri Lanka vs India 2021,"2nd ODI Highlights | Sri Lanka vs India 2021
#SLvIND",https://i.ytimg.com/vi/8J7BoMdU-qw/default.jpg,https://i.ytimg.com/vi/8J7BoMdU-qw/mqdefault.jpg,Sri Lanka Cricket,2nd ODI Highlights | Sri Lanka vs India 2021,"2nd ODI Highlights | Sri Lanka vs India 2021
#SLvIND",processed,public,youtube,True,True,False,12056482,296859,9993,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/8J7BoMdU-qw"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
2021-07-21T05:30:02Z,2000'S KID BRUTALLY RATES POPULAR TOYS OF TODAY,"I'm a 2000's baby, and this is my honest thoughts on the toys of today...
MY BOOK (FREE SHIPPING): 
https://www.bookdepository.com/The-Amazingly-Disorganised-Help-Dictionary-Georgia-Productions/9780143793250
••••••••••••••••••••••••••••••••••••­­­­•••••••••••

Previous video: https://www.youtube.com/watch?v=Y39zNyQ90d0
Instagram: https://www.instagram.com/georgia_pro...
Twitter: GeorgiaP83
Snapchat: georgia.p83

READING YOUR ASSUMPTIONS ABOUT MY PERSONAL LIFE: https://www.youtube.com/watch?v=suRL3dSfc8Y

READING MY OLD DIARY FROM WHEN I WAS 7: https://www.youtube.com/watch?v=tJFNX9WOz30

PUNKIN SEEDS (SKIT): https://www.youtube.com/watch?v=BGNmwf2eJJ4",https://i.ytimg.com/vi/_HdhWxNp9oU/default.jpg,https://i.ytimg.com/vi/_HdhWxNp9oU/mqdefault.jpg,Georgia Productions,2000'S KID BRUTALLY RATES POPULAR TOYS OF TODAY,"I'm a 2000's baby, and this is my honest thoughts on the toys of today...
MY BOOK (FREE SHIPPING): 
https://www.bookdepository.com/The-Amazingly-Disorganised-Help-Dictionary-Georgia-Productions/9780143793250
••••••••••••••••••••••••••••••••••••­­­­•••••••••••

Previous video: https://www.youtube.com/watch?v=Y39zNyQ90d0
Instagram: https://www.instagram.com/georgia_pro...
Twitter: GeorgiaP83
Snapchat: georgia.p83

READING YOUR ASSUMPTIONS ABOUT MY PERSONAL LIFE: https://www.youtube.com/watch?v=suRL3dSfc8Y

READING MY OLD DIARY FROM WHEN I WAS 7: https://www.youtube.com/watch?v=tJFNX9WOz30

PUNKIN SEEDS (SKIT): https://www.youtube.com/watch?v=BGNmwf2eJJ4",processed,public,youtube,True,True,False,247747,16377,113,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/_HdhWxNp9oU"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
2021-07-21T21:15:12Z,I Played Minecraft With Hank From Breaking Bad,"GET MY HOODIE AT: https://www.quackity.shop/

JESSE! Hank from Breaking Bad is playing Minecraft, this is bad for the operation. Just kidding, it's great because Minecraft is the game Hank from Breaking Bad is playing today along with GeorgeNotFound who is also in the Dream Minecraft Dream Manhunt videos and GeorgeNotFound never wins by the way which is funny, and BadBoyHalo another friend who is also in the Dream Minecraft Manhunt Videos. Hank Breaking Bad AKA Dean Norris is one of the funniest Minecraft players I know, I actually love Hank Breaking Bad and Breaking Bad the show, it is very good. So now that we have Hank Breaking Bad playing Minecraft with me Quackity, GeorgeNotFound, and BadBoyHalo, this is simply the best day of my life.

All jokes aside, Breaking Bad is one of my favorite shows of all time, without a doubt. To be able to have the honor of having Dean Norris play Minecraft with me still doesn't feel real. I'll tell you firsthand he is one of the sweetest kindest guys ever, and even though I put him through this pain of being in this silly video, he was so kind about everything. Dean Norris 4 evr.

George: @GeorgeNotFound 
Badboyhalo: @BadBoyHalo 
Dean Norris: https://twitter.com/deanjnorris

DISCORD: https://discord.gg/Quackity​
TWITTER: https://twitter.com/Quackity
TWITCH: https://www.twitch.tv/quackity
INSTAGRAM: https://www.instagram.com/quackity/​

PRIMARILY EDITED BY: https://twitter.com/Wheatskins_",https://i.ytimg.com/vi/3TWvMWxqoaU/default.jpg,https://i.ytimg.com/vi/3TWvMWxqoaU/mqdefault.jpg,Quackity,I Played Minecraft With Hank From Breaking Bad,"GET MY HOODIE AT: https://www.quackity.shop/

JESSE! Hank from Breaking Bad is playing Minecraft, this is bad for the operation. Just kidding, it's great because Minecraft is the game Hank from Breaking Bad is playing today along with GeorgeNotFound who is also in the Dream Minecraft Dream Manhunt videos and GeorgeNotFound never wins by the way which is funny, and BadBoyHalo another friend who is also in the Dream Minecraft Manhunt Videos. Hank Breaking Bad AKA Dean Norris is one of the funniest Minecraft players I know, I actually love Hank Breaking Bad and Breaking Bad the show, it is very good. So now that we have Hank Breaking Bad playing Minecraft with me Quackity, GeorgeNotFound, and BadBoyHalo, this is simply the best day of my life.

All jokes aside, Breaking Bad is one of my favorite shows of all time, without a doubt. To be able to have the honor of having Dean Norris play Minecraft with me still doesn't feel real. I'll tell you firsthand he is one of the sweetest kindest guys ever, and even though I put him through this pain of being in this silly video, he was so kind about everything. Dean Norris 4 evr.

George: @GeorgeNotFound 
Badboyhalo: @BadBoyHalo 
Dean Norris: https://twitter.com/deanjnorris

DISCORD: https://discord.gg/Quackity​
TWITTER: https://twitter.com/Quackity
TWITCH: https://www.twitch.tv/quackity
INSTAGRAM: https://www.instagram.com/quackity/​

PRIMARILY EDITED BY: https://twitter.com/Wheatskins_",processed,public,youtube,True,True,False,1444537,214514,1101,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/3TWvMWxqoaU"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
2021-07-20T16:00:03Z,Jackass Forever | Official Trailer (2021 Movie),"Forever young and still funny in the head. Check out the NEW trailer for #JackassForever and see our big dumb movie in theaters everywhere October 22, 2021.

Celebrating the joy of being back together with your best friends and a perfectly executed shot to the dingdong, the original jackass crew return for another round of hilarious, wildly absurd, and often dangerous displays of comedy with a little help from some exciting new cast.  Johnny and the team push the envelope even further on October 22 in jackass forever.

#JackassForever
https://www.instagram.com/Jackass/
https://www.facebook.com/jackass/
https://twitter.com/jackassworld

Paramount Pictures Corporation (PPC), a major global producer and distributor of filmed entertainment, is a unit of Viacom (NASDAQ: VIAB, VIA), home to premier global media brands that create compelling television programs, motion pictures, short-form content, apps, games, consumer products, social media experiences, and other entertainment content for audiences in more than 180 countries. 

Connect with Paramount Pictures Online: 

Official Site: http://www.paramount.com/
Facebook: https://www.facebook.com/Paramount
Instagram: http://www.instagram.com/ParamountPics
Twitter: https://twitter.com/paramountpics
YouTube: https://www.youtube.com/user/Paramount
TikTok: https://www.tiktok.com/@paramountpics",https://i.ytimg.com/vi/FNq-QT2Jpng/default.jpg,https://i.ytimg.com/vi/FNq-QT2Jpng/mqdefault.jpg,Paramount Pictures,Jackass Forever | Official Trailer (2021 Movie),"Forever young and still funny in the head. Check out the NEW trailer for #JackassForever and see our big dumb movie in theaters everywhere October 22, 2021.

Celebrating the joy of being back together with your best friends and a perfectly executed shot to the dingdong, the original jackass crew return for another round of hilarious, wildly absurd, and often dangerous displays of comedy with a little help from some exciting new cast.  Johnny and the team push the envelope even further on October 22 in jackass forever.

#JackassForever
https://www.instagram.com/Jackass/
https://www.facebook.com/jackass/
https://twitter.com/jackassworld

Paramount Pictures Corporation (PPC), a major global producer and distributor of filmed entertainment, is a unit of Viacom (NASDAQ: VIAB, VIA), home to premier global media brands that create compelling television programs, motion pictures, short-form content, apps, games, consumer products, social media experiences, and other entertainment content for audiences in more than 180 countries. 

Connect with Paramount Pictures Online: 

Official Site: http://www.paramount.com/
Facebook: https://www.facebook.com/Paramount
Instagram: http://www.instagram.com/ParamountPics
Twitter: https://twitter.com/paramountpics
YouTube: https://www.youtube.com/user/Paramount
TikTok: https://www.tiktok.com/@paramountpics",processed,public,youtube,True,False,False,3189919,50739,1183,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/FNq-QT2Jpng"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
2021-07-20T23:00:11Z,I Survived 200 Days in Ancient Greece on Minecraft.. Here's What Happened..,"I Survived 100 Days in Ancient Greece on Minecraft.. Here's What Happened..
Buy the Cloudberry Cloak ➜ http://lunarclient.com/forrestbono

Social Media:
Twitter ➜ https://twitter.com/Forrestbono
Instagram ➜ https://www.instagram.com/forrestbono
Discord ➜ https://discord.gg/CZQ7dQheXG

Credits:
Zeus & Hades amazingly created by @ArtsByKev  
Intro Animation Created by Spark Universe: https://sparkuniverse.com/

Zeus ➜ @Painful 
Hades ➜ @ShadowApples 
Helios ➜ @xNestorio 
Hephaestus ➜ @aCookieGod 
Cloudberry (Harp Seal) ➜ @LilyPichu 

Mount Olympus Creation by: https://bit.ly/3kAgZdf
Crimson City Creation by: https://bit.ly/3eEgL0T

Patreon ➜ https://patreon.com/forrestpainful (DISCLAIMER: Custom bosses REQUIRE Java Edition).
Shaders Used: Complementary Shaders - https://bit.ly/3iqhHqK
Business - 📩 forrest@afkcreators.com

I had to survive for 200 Days of Hardcore Minecraft in Ancient Greece and battle Zeus, God of Thunder, and Hades, the God of the Underworld. Throughout these 200 Days, I encountered Zeus, Hades, Helios and Hephaestus! Stay tuned to see what happens during the 200 Days!

All the models in this 100 Days video made incredibly by ArtsByKev, Muffins, JoWekker, and TheLoungeMC!

#100Days #Hardcore #Minecraft",https://i.ytimg.com/vi/SQ9n4JNoWE8/default.jpg,https://i.ytimg.com/vi/SQ9n4JNoWE8/mqdefault.jpg,Forrestbono,I Survived 200 Days in Ancient Greece on Minecraft.. Here's What Happened..,"I Survived 100 Days in Ancient Greece on Minecraft.. Here's What Happened..
Buy the Cloudberry Cloak ➜ http://lunarclient.com/forrestbono

Social Media:
Twitter ➜ https://twitter.com/Forrestbono
Instagram ➜ https://www.instagram.com/forrestbono
Discord ➜ https://discord.gg/CZQ7dQheXG

Credits:
Zeus & Hades amazingly created by @ArtsByKev  
Intro Animation Created by Spark Universe: https://sparkuniverse.com/

Zeus ➜ @Painful 
Hades ➜ @ShadowApples 
Helios ➜ @xNestorio 
Hephaestus ➜ @aCookieGod 
Cloudberry (Harp Seal) ➜ @LilyPichu 

Mount Olympus Creation by: https://bit.ly/3kAgZdf
Crimson City Creation by: https://bit.ly/3eEgL0T

Patreon ➜ https://patreon.com/forrestpainful (DISCLAIMER: Custom bosses REQUIRE Java Edition).
Shaders Used: Complementary Shaders - https://bit.ly/3iqhHqK
Business - 📩 forrest@afkcreators.com

I had to survive for 200 Days of Hardcore Minecraft in Ancient Greece and battle Zeus, God of Thunder, and Hades, the God of the Underworld. Throughout these 200 Days, I encountered Zeus, Hades, Helios and Hephaestus! Stay tuned to see what happens during the 200 Days!

All the models in this 100 Days video made incredibly by ArtsByKev, Muffins, JoWekker, and TheLoungeMC!

#100Days #Hardcore #Minecraft",processed,public,youtube,True,True,False,2122491,93086,1425,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/SQ9n4JNoWE8"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
2021-07-21T18:00:01Z,15 MONTHS,"15 Months is a short film sharing my experience and feelings over the last year and a half.

Original Music by: Ursine Vulpine 
http://www.ursinevulpine.com/",https://i.ytimg.com/vi/5L8O1jIzAlM/default.jpg,https://i.ytimg.com/vi/5L8O1jIzAlM/mqdefault.jpg,jacksepticeye,15 MONTHS,"15 Months is a short film sharing my experience and feelings over the last year and a half.

Original Music by: Ursine Vulpine 
http://www.ursinevulpine.com/",processed,public,youtube,True,True,False,1608979,264675,1593,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/5L8O1jIzAlM"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
